eps,log_prec,num_class,actual_eps,setup,committing,computing,proving,verifying,comm
2.0,9,128,0.0,0.152924,0.000512655,3.2502e-05,0.358777,0.00805811,2032
2.0,10,2,2.0005934753293673,0.41607,0.00048803,8.2513e-05,0.718072,0.00804113,2032
2.0,10,4,1.9938066273989294,0.416071,0.000385481,8.2589e-05,0.717845,0.00807088,2032
2.0,10,8,2.004520671500047,0.413845,0.000512604,8.2059e-05,0.719376,0.00805013,2032
2.0,10,16,1.9824995964876055,0.410984,0.000518372,8.1504e-05,0.71815,0.00804557,2032
2.0,10,32,1.9352717508502575,0.410956,0.000510102,8.25e-05,0.717989,0.00804559,2032
2.0,10,64,1.6613976513648114,0.40877,0.000508574,8.1127e-05,0.717938,0.00805804,2032
2.0,10,128,0.0,0.286017,0.000507394,7.2401e-05,0.71836,0.0080893,2032
2.0,11,2,2.0005934753293673,0.815076,0.000385683,0.000159078,1.35361,0.00711619,2032
2.0,11,4,2.000931077457216,0.815506,0.000388544,0.000159132,1.31782,0.00710866,2032
2.0,11,8,2.004520671500047,0.630311,0.000395453,0.000123396,1.10138,0.00615243,2032
2.0,11,16,2.01563535305394,0.633274,0.000394452,0.000122384,1.10236,0.00615623,2032
2.0,11,32,2.0335951535544172,0.631582,0.000393622,0.000126838,1.10172,0.00616499,2032
2.0,11,64,2.0308668715312788,0.626789,0.000393363,0.000123661,1.1028,0.00618692,2032
2.0,11,128,2.2547944291576973,0.619419,0.000395555,0.000122737,1.10528,0.00618945,2032
2.0,12,2,2.0005934753293673,1.24357,0.000298822,0.000239624,2.21366,0.00616414,2032
2.0,12,4,2.000931077457216,1.24474,0.000300133,0.00023851,2.21198,0.0061471,2032
2.0,12,8,1.99767952057635,1.24343,0.000395468,0.000236851,2.21094,0.00614614,2032
2.0,12,16,1.999114185118778,1.24193,0.00039913,0.000244225,2.21134,0.00616539,2032
2.0,12,32,1.985182211408842,1.24444,0.000395432,0.000248188,2.21321,0.00615632,2032
2.0,12,64,2.0308668715312788,1.23065,0.000393072,0.000244298,2.21946,0.00618283,2032
2.0,12,128,2.2547944291576973,1.21789,0.000394018,0.000245536,2.2124,0.00616828,2032
4.0,6,2,4.143134726391533,0.0422761,0.000379666,5.541e-06,0.0358707,0.00615912,2032
4.0,6,4,4.110873864173311,0.0420198,0.000376661,5.598e-06,0.0358289,0.00615627,2032
4.0,6,8,4.04305126783455,0.0404153,0.000397114,5.544e-06,0.0358438,0.00623737,2032
4.0,6,16,3.8918202981106265,0.0412683,0.000373125,5.386e-06,0.0358103,0.00616041,2032
4.0,6,32,3.4965075614664802,0.0393083,0.000524611,7.162e-06,0.0360618,0.00620072,2032
4.0,6,64,0.0,0.0335476,0.000600536,2.441e-06,0.0369727,0.00622755,2032
4.0,7,2,4.143134726391533,0.0656897,0.000385874,1.1495e-05,0.0911622,0.00803167,2032
4.0,7,4,4.110873864173311,0.0680712,0.000387206,1.153e-05,0.0910283,0.00803344,2032
4.0,7,8,4.04305126783455,0.0676303,0.000386812,1.154e-05,0.0909792,0.00807253,2032
4.0,7,16,3.8918202981106265,0.0624982,0.000490937,1.2216e-05,0.0909249,0.0080726,2032
4.0,7,32,4.574710978503383,0.0635952,0.000513568,1.2251e-05,0.0910778,0.00806954,2032
4.0,7,64,4.174387269895637,0.0599534,0.000506953,1.2396e-05,0.0914463,0.00804495,2032
4.0,7,128,0.0,0.0520559,0.00050963,2.334e-06,0.0912418,0.00806514,2032
4.0,8,2,3.9160150266976834,0.115726,0.000485828,2.203e-05,0.179908,0.00802179,2032
4.0,8,4,4.110873864173311,0.114776,0.000488647,2.2169e-05,0.179895,0.00807114,2032
4.0,8,8,4.04305126783455,0.113808,0.000443451,2.2185e-05,0.179986,0.00804797,2032
4.0,8,16,3.8918202981106265,0.108194,0.000510199,2.2085e-05,0.179984,0.0080277,2032
4.0,8,32,3.9951379121386528,0.111722,0.000509149,2.2403e-05,0.17994,0.0080398,2032
4.0,8,64,4.174387269895637,0.100074,0.000504931,2.2257e-05,0.179861,0.00804831,2032
4.0,8,128,4.859812404361672,0.100148,0.000508105,2.2284e-05,0.179961,0.00803617,2032
4.0,9,2,4.02336559276352,0.216178,0.000390353,4.1657e-05,0.358748,0.00806818,2032
4.0,9,4,3.9869243136012638,0.214497,0.000381933,4.1595e-05,0.358743,0.00805376,2032
4.0,9,8,4.04305126783455,0.207771,0.000513575,4.1036e-05,0.358547,0.00807014,2032
4.0,9,16,4.062903036387282,0.214703,0.000508218,4.2088e-05,0.358413,0.00801671,2032
4.0,9,32,3.9951379121386528,0.208976,0.000446846,4.2214e-05,0.358892,0.00804818,2032
4.0,9,64,4.174387269895637,0.184446,0.000517073,4.2179e-05,0.3588,0.00806411,2032
4.0,9,128,3.7765850345330416,0.199136,0.000504605,4.2423e-05,0.358802,0.00804256,2032
4.0,10,2,4.02336559276352,0.415559,0.000389154,8.1494e-05,0.718087,0.00805563,2032
4.0,10,4,3.9869243136012638,0.414603,0.000383422,8.0399e-05,0.717892,0.00802883,2032
4.0,10,8,3.97472159964371,0.414373,0.000484196,8.0776e-05,0.71777,0.00805127,2032
4.0,10,16,3.9753107446640645,0.413614,0.000521342,7.6917e-05,0.717471,0.00809052,2032
4.0,10,32,3.9951379121386528,0.398786,0.000511792,8.1305e-05,0.718104,0.00805256,2032
4.0,10,64,3.9274588135579855,0.408534,0.000513622,8.249e-05,0.71771,0.00806561,2032
4.0,10,128,3.7765850345330416,0.383001,0.000512003,8.2432e-05,0.718775,0.00805906,2032
4.0,11,2,3.995469477128428,0.81511,0.000497833,0.000158692,1.28271,0.00645461,2032
4.0,11,4,3.9869243136012638,0.812204,0.000383373,0.000160962,1.35742,0.00713612,2032
4.0,11,8,4.008434506929691,0.629567,0.000393152,0.000123794,1.10157,0.00615567,2032
4.0,11,16,4.0185552481387345,0.632465,0.000394161,0.000122354,1.10111,0.00617269,2032
4.0,11,32,3.9951379121386528,0.610359,0.000393088,0.000123898,1.10096,0.00615803,2032
4.0,11,64,4.051273307986567,0.62835,0.00038928,0.000123868,1.10172,0.00617227,2032
4.0,11,128,4.080614369410199,0.619292,0.000396446,0.000123503,1.10154,0.0061809,2032
4.0,12,2,3.995469477128428,1.24056,0.000374483,0.000247104,2.21363,0.00620937,2032
4.0,12,4,4.001683452690352,1.24245,0.00037262,0.00024829,2.22284,0.00615685,2032
4.0,12,8,4.008434506929691,1.24069,0.000390332,0.000245902,2.21204,0.00616855,2032
4.0,12,16,3.9968002501837945,1.23932,0.000389521,0.00024501,2.21166,0.00616796,2032
4.0,12,32,3.9951379121386528,1.19569,0.000391993,0.000247961,2.21369,0.00619178,2032
4.0,12,64,3.9895130071690437,1.23526,0.000390771,0.000244076,2.22547,0.00617888,2032
